market,latitude,longitude,commodity,unit,month,year,price
Arusha (urban),-3.366667,36.683333,Maize,100 KG,1,2006,38464.29
Arusha (urban),-3.366667,36.683333,Rice,100 KG,1,2006,63227.27
Arusha (urban),-3.366667,36.683333,Beans,100 KG,1,2006,80714.29
Arusha (urban),-3.366667,36.683333,Maize,100 KG,2,2006,34833.33
Arusha (urban),-3.366667,36.683333,Rice,100 KG,2,2006,72727.27
Arusha (urban),-3.366667,36.683333,Beans,100 KG,2,2006,65083.33
Arusha (urban),-3.366667,36.683333,Maize,100 KG,3,2006,31000
Arusha (urban),-3.366667,36.683333,Rice,100 KG,3,2006,81961.54
Arusha (urban),-3.366667,36.683333,Beans,100 KG,3,2006,46875
Arusha (urban),-3.366667,36.683333,Maize,100 KG,4,2006,20545.45
Arusha (urban),-3.366667,36.683333,Rice,100 KG,4,2006,73785.71
Arusha (urban),-3.366667,36.683333,Beans,100 KG,4,2006,49136.36
Arusha (urban),-3.366667,36.683333,Maize,100 KG,5,2006,18461.54
Arusha (urban),-3.366667,36.683333,Rice,100 KG,5,2006,106375
Arusha (urban),-3.366667,36.683333,Beans,100 KG,5,2006,52346.15
Arusha (urban),-3.366667,36.683333,Maize,100 KG,6,2006,18166.67
Arusha (urban),-3.366667,36.683333,Rice,100 KG,6,2006,77791.67
Arusha (urban),-3.366667,36.683333,Beans,100 KG,6,2006,56375
Arusha (urban),-3.366667,36.683333,Maize,100 KG,7,2006,18333.33
Arusha (urban),-3.366667,36.683333,Rice,100 KG,7,2006,72318.18
Arusha (urban),-3.366667,36.683333,Beans,100 KG,7,2006,57000
Arusha (urban),-3.366667,36.683333,Maize,100 KG,8,2006,17000
Arusha (urban),-3.366667,36.683333,Rice,100 KG,8,2006,74423.08
Arusha (urban),-3.366667,36.683333,Beans,100 KG,8,2006,52000
Arusha (urban),-3.366667,36.683333,Maize,100 KG,9,2006,15000
Arusha (urban),-3.366667,36.683333,Rice,100 KG,9,2006,71916.67
Arusha (urban),-3.366667,36.683333,Beans,100 KG,9,2006,49187.5
Arusha (urban),-3.366667,36.683333,Maize,100 KG,10,2006,15700
Arusha (urban),-3.366667,36.683333,Rice,100 KG,10,2006,79562.5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,10,2006,51010
Arusha (urban),-3.366667,36.683333,Maize,100 KG,11,2006,16200
Arusha (urban),-3.366667,36.683333,Rice,100 KG,11,2006,74450
Arusha (urban),-3.366667,36.683333,Beans,100 KG,11,2006,50890
Arusha (urban),-3.366667,36.683333,Maize,100 KG,12,2006,17580
Arusha (urban),-3.366667,36.683333,Rice,100 KG,12,2006,68687.5
Arusha (urban),-3.366667,36.683333,Beans,100 KG,12,2006,50150
Arusha (urban),-3.366667,36.683333,Maize,100 KG,1,2007,20100
Arusha (urban),-3.366667,36.683333,Rice,100 KG,1,2007,73000
Arusha (urban),-3.366667,36.683333,Beans,100 KG,1,2007,55200
Arusha (urban),-3.366667,36.683333,Maize,100 KG,2,2007,21400
Arusha (urban),-3.366667,36.683333,Rice,100 KG,2,2007,65500
Arusha (urban),-3.366667,36.683333,Beans,100 KG,2,2007,55300
Arusha (urban),-3.366667,36.683333,Maize,100 KG,3,2007,19600
Arusha (urban),-3.366667,36.683333,Rice,100 KG,3,2007,64600
Arusha (urban),-3.366667,36.683333,Beans,100 KG,3,2007,51400
Arusha (urban),-3.366667,36.683333,Maize,100 KG,4,2007,17500
Arusha (urban),-3.366667,36.683333,Rice,100 KG,4,2007,64000
Arusha (urban),-3.366667,36.683333,Beans,100 KG,4,2007,55600
Arusha (urban),-3.366667,36.683333,Maize,100 KG,5,2007,17100
Arusha (urban),-3.366667,36.683333,Rice,100 KG,5,2007,57500
Arusha (urban),-3.366667,36.683333,Beans,100 KG,5,2007,52000
Arusha (urban),-3.366667,36.683333,Maize,100 KG,6,2007,27978
Arusha (urban),-3.366667,36.683333,Rice,100 KG,6,2007,55600
Arusha (urban),-3.366667,36.683333,Beans,100 KG,6,2007,52400
Arusha (urban),-3.366667,36.683333,Maize,100 KG,7,2007,13800
Arusha (urban),-3.366667,36.683333,Rice,100 KG,7,2007,57700
Arusha (urban),-3.366667,36.683333,Beans,100 KG,7,2007,51900
Arusha (urban),-3.366667,36.683333,Maize,100 KG,8,2007,15300
